"ID_SAMPLE","Dominant_num","Dominant","Subdominant_num","Subdominant","Third","Third_num"
8010,13,"TEDE",22,"GRAM",NA,NA
8011,13,"TEDE",22,"GRAM",NA,NA
8012,13,"TEDE",22,"GRAM",NA,NA
8013,13,"TEDE",22,"GRAM",NA,NA
8014,13,"TEDE",22,"GRAM",NA,NA
8015,13,"TEDE",22,"GRAM",NA,NA
8016,13,"TEDE",22,"GRAM",NA,NA
8017,13,"TEDE",22,"GRAM",NA,NA
8018,13,"TEDE",22,"GRAM",NA,NA
8019,13,"TEDE",22,"GRAM",NA,NA
8020,13,"TEDE",22,"GRAM",NA,NA
10706,13,"TEDE",22,"GRAM",NA,NA
10707,13,"TEDE",22,"GRAM",NA,NA
10708,13,"TEDE",22,"GRAM",NA,NA
10709,13,"TEDE",22,"GRAM",NA,NA
10710,13,"TEDE",22,"GRAM",NA,NA
10711,13,"TEDE",22,"GRAM",NA,NA
10712,13,"TEDE",22,"GRAM",NA,NA
10713,13,"TEDE",22,"GRAM",NA,NA
10714,13,"TEDE",22,"GRAM",NA,NA
10715,13,"TEDE",22,"GRAM",NA,NA
10716,13,"TEDE",22,"GRAM",NA,NA
10717,13,"TEDE",22,"GRAM",NA,NA
10718,13,"TEDE",22,"GRAM",NA,NA
10719,13,"TEDE",22,"GRAM",NA,NA
5388,20,"XSHB",4,"WTSFS",NA,NA
5416,NA,NA,4,"WTSFS","TEDE",13
5417,NA,NA,4,"WTSFS","TEDE",13
5418,NA,NA,4,"WTSFS","TEDE",13
5419,NA,NA,4,"WTSFS","TEDE",13
5420,NA,NA,4,"WTSFS","TEDE",13
5421,NA,NA,4,"WTSFS","TEDE",13
5422,NA,NA,4,"WTSFS","TEDE",13
5423,NA,NA,4,"WTSFS","TEDE",13
5424,NA,NA,4,"WTSFS","TEDE",13
5425,NA,NA,4,"WTSFS","TEDE",13
5426,NA,NA,4,"WTSFS","TEDE",13
5427,NA,NA,4,"WTSFS","TEDE",13
5428,NA,NA,4,"WTSFS","TEDE",13
5429,NA,NA,4,"WTSFS","TEDE",13
5430,NA,NA,4,"WTSFS","TEDE",13
5431,NA,NA,4,"WTSFS","TEDE",13
5468,22,"GRAM",NA,NA,NA,NA
5469,22,"GRAM",NA,NA,NA,NA
5470,22,"GRAM",NA,NA,NA,NA
5471,22,"GRAM",NA,NA,NA,NA
5472,22,"GRAM",NA,NA,NA,NA
5473,22,"GRAM",NA,NA,NA,NA
5474,22,"GRAM",NA,NA,NA,NA
5475,22,"GRAM",NA,NA,NA,NA
5476,22,"GRAM",NA,NA,NA,NA
5477,22,"GRAM",NA,NA,NA,NA
5478,22,"GRAM",NA,NA,NA,NA
5479,22,"GRAM",NA,NA,NA,NA
5480,22,"GRAM",NA,NA,NA,NA
5481,22,"GRAM",NA,NA,NA,NA
5482,22,"GRAM",NA,NA,NA,NA
5483,22,"GRAM",NA,NA,NA,NA
5484,22,"GRAM",NA,NA,NA,NA
5485,22,"GRAM",NA,NA,NA,NA
5486,22,"GRAM",NA,NA,NA,NA
5487,22,"GRAM",NA,NA,NA,NA
5488,22,"GRAM",NA,NA,NA,NA
5489,22,"GRAM",NA,NA,NA,NA
5490,22,"GRAM",NA,NA,NA,NA
5491,22,"GRAM",NA,NA,NA,NA
5492,22,"GRAM",NA,NA,NA,NA
5493,22,"GRAM",NA,NA,NA,NA
5494,22,"GRAM",NA,NA,NA,NA
5495,22,"GRAM",NA,NA,NA,NA
5496,22,"GRAM",NA,NA,NA,NA
5497,22,"GRAM",NA,NA,NA,NA
5498,22,"GRAM",NA,NA,NA,NA
5499,22,"GRAM",NA,NA,NA,NA
5500,22,"GRAM",NA,NA,NA,NA
5501,22,"GRAM",NA,NA,NA,NA
5502,22,"GRAM",NA,NA,NA,NA
5503,22,"GRAM",NA,NA,NA,NA
5504,22,"GRAM",NA,NA,NA,NA
5505,22,"GRAM",NA,NA,NA,NA
5506,22,"GRAM",NA,NA,NA,NA
5575,NA,NA,NA,NA,NA,NA
5576,NA,NA,NA,NA,NA,NA
5577,NA,NA,NA,NA,NA,NA
5578,NA,NA,NA,NA,NA,NA
5579,NA,NA,NA,NA,NA,NA
5580,NA,NA,NA,NA,NA,NA
5581,NA,NA,NA,NA,NA,NA
5582,NA,NA,NA,NA,NA,NA
5583,NA,NA,NA,NA,NA,NA
5584,NA,NA,NA,NA,NA,NA
5585,NA,NA,NA,NA,NA,NA
5586,NA,NA,NA,NA,NA,NA
5587,NA,NA,NA,NA,NA,NA
5588,NA,NA,NA,NA,NA,NA
5589,NA,NA,NA,NA,NA,NA
5590,NA,NA,NA,NA,NA,NA
5591,NA,NA,NA,NA,NA,NA
5592,NA,NA,NA,NA,NA,NA
5593,NA,NA,NA,NA,NA,NA
5594,NA,NA,NA,NA,NA,NA
5595,NA,NA,NA,NA,NA,NA
5596,NA,NA,NA,NA,NA,NA
5597,NA,NA,NA,NA,NA,NA
5598,NA,NA,NA,NA,NA,NA
5599,NA,NA,NA,NA,NA,NA
5600,NA,NA,NA,NA,NA,NA
5601,NA,NA,NA,NA,NA,NA
5602,NA,NA,NA,NA,NA,NA
5603,NA,NA,NA,NA,NA,NA
5604,NA,NA,NA,NA,NA,NA
5605,NA,NA,NA,NA,NA,NA
6008,13,"TEDE",22,"GRAM",NA,NA
6009,13,"TEDE",22,"GRAM",NA,NA
6010,13,"TEDE",22,"GRAM",NA,NA
6011,13,"TEDE",22,"GRAM",NA,NA
6012,13,"TEDE",22,"GRAM",NA,NA
6013,13,"TEDE",22,"GRAM",NA,NA
6014,13,"TEDE",22,"GRAM",NA,NA
6015,13,"TEDE",22,"GRAM",NA,NA
6016,13,"TEDE",22,"GRAM",NA,NA
6017,13,"TEDE",22,"GRAM",NA,NA
6018,13,"TEDE",22,"GRAM",NA,NA
6019,13,"TEDE",22,"GRAM",NA,NA
