depth_mm,age_AD,d18O,d13C
77.5,819.64,-3.73,-6.26
78,811.09,-3.59,-6.3
78.5,803.45,-3.58,-6.36
79,795.81,-3.58,-5.94
79.5,786.21,-3.53,-5.79
80,772.63,-3.59,-4.83
80.5,753.27,-3.6,-4.59
81,728.76,-3.76,-5.2
81.5,701.62,-3.89,-6.09
82,674.46,-3.78,-5.9
82.5,649.72,-3.59,-5.58
83,627.99,-3.64,-5.69
83.5,608.4,-3.6,-6.11
84,590.05,-3.41,-5.3
84.5,572.07,-3.43,-4.99
85,554.16,-3.7,-4.96
85.5,536.46,-3.56,-4.39
86,519.12,-3.84,-4.62
86.5,502.25,-3.87,-5.42
87,485.64,-3.78,-5.18
87.5,468.84,-3.69,-4.7
88,451.37,-3.82,-4.58
88.5,432.86,-3.8,-4.66
89,414.43,-3.89,-4.63
89.5,398.33,-3.81,-4.51
90,388.91,-4.02,-4.85
90.5,386.53,-4.11,-5.51
91,386.17,-4.16,-5.8
91.5,385.82,-4.08,-5.45
92,385.46,-4.1,-5.69
92.5,385.11,-4.12,-6.68
93,384.75,-4.05,-6.48
93.5,381.5,-4,-6.35
94,374.73,-4.18,-6.71
94.5,368.53,-4.09,-7.16
95,363.31,-4.2,-8.04
95.5,358.69,-4.2,-8.52
96,354.28,-4.23,-8.2
96.5,349.7,-4.27,-7.54
97,344.83,-4.24,-6.68
97.5,339.75,-4.24,-6.22
98,334.57,-4.2,-6.14
98.5,329.37,-4.01,-5.79
99,324.18,-3.88,-5.94
99.5,319.01,-3.73,-5.57
100,313.85,-3.74,-5.56
100.5,308.68,-3.92,-5.93
101,303.54,-4.01,-6.04
101.5,298.42,-3.96,-5.91
102,293.36,-3.96,-6.1
102.5,288.36,-4,-5.99
103,283.43,-4.06,-5.66
103.5,278.55,-4.09,-5.43
104,273.72,-3.84,-5.1
104.5,268.9,-3.99,-5.1
105,264.1,-3.9,-5.08
105.5,259.33,-3.71,-5.22
106,254.59,-3.72,-5.52
106.5,249.89,-3.97,-5.35
107,245.24,-3.72,-5.56
107.5,240.69,-3.73,-5.82
108,236.28,-4,-6.23
108.5,231.91,-3.93,-6.3
109,225.59,-3.92,-5.99
109.5,213.82,-4.07,-6.01
110,193.08,-4.03,-5.78
110.5,160.22,-4.12,-6.22
111,117.93,-3.94,-6.49
111.5,73.34,-3.89,-6.23
112,33.71,-3.96,-5.91
112.5,5.87,-3.73,-5.65
113,-9.86,-3.93,-5.44
113.5,-18.1,-3.9,-5.43
114,-23.63,-4.02,-6.11
114.5,-31.02,-3.73,-6.11
115,-41.56,-3.53,-5.77
115.5,-54.04,-3.7,-5.03
116,-67.18,-3.68,-4.36
116.5,-79.77,-3.5,-4.07
117,-91.48,-3.74,-4.55
117.5,-102.64,-3.89,-5.3
118,-113.62,-3.93,-5.46
118.5,-124.77,-3.8,-6.04
119,-136.21,-3.81,-5.98
